41373268	4404	-3265	-4919				
41378664	1436	2218	-3636				
41379676	-5674	2052	-6678				
41380692	-6661	3249	-7471				
41381700	-1464	2423	-4505				
41382720	2275	-3297	-2857				
41383744	-4417	-1874	-6206				
41384768	-7632	-551	-8659				
41385776	-5818	320	-4776				
41386784	1573	-737	1592				
41387812	2322	-2552	4512				
41388844	-6119	800	-1981				
41389872	-8556	4400	-7117				
41390900	-6146	2449	-6186				
41391916	-7232	640	-7055				
41392928	-3283	227	-7410				
41393940	4623	327	-6364				
41394980	10450	-863	-4162				
41396008	7595	-2857	-3189				
41401404	2928	-1861	5193				
41402396	-7617	399	-283				
41403420	-12366	2646	-7010				
41404436	-7565	1764	-7918				
41405420	961	-981	-7887				
41406480	5796	-1654	-8604				
41407500	7590	-640	-8133				
41408492	5765	299	-5441				
41409556	-2202	-1067	-1575				
41410592	-9162	1460	-4963				
41411628	-6965	2391	-4038				
41412620	897	1968	-53				
41413648	3443	-114	2652				
41414680	-3025	-1222	1093				
41415704	-6437	-1599	-5580				
41416696	606	537	-8841				
41417720	6816	-736	-7658				
41418728	238	-1039	-8984				
41419712	-2232	1	-8779				
41425124	-9966	2764	-4287				
41426148	-4853	2124	-2934				
41427132	3915	-858	-473				
41428152	6014	-4896	1764				
41429148	925	-2635	-4103				
41430168	-3054	615	-8327				
41431188	-2802	1116	-8499				
41432204	-5362	-469	-8815				
41433220	-5270	83	-8571				
41434288	-2481	2136	-5720				
41435312	-1248	2752	-2059				
41436332	-6632	-138	-1917				
41437340	-7106	666	-5910				
41438368	-2337	-120	-6287				
41439408	8357	-1569	-3167				
41440440	13859	-3201	1656				
41441456	3695	-2416	-472				
41442468	-7253	678	-6244				
41443496	-7958	1775	-8351				
41448852	3797	65	-881				
41449892	4975	-1633	-2071				
41450908	-1110	-1258	-5468				
41451916	-2976	-400	-7418				
41452908	-789	824	-4679				
41453916	2632	-630	703				
41454936	-132	-1728	2267				
41455964	-9383	-1256	-3535				
41457000	-11269	1674	-7859				
41458020	-7634	1729	-6007				
41459028	-6872	170	-4717				
41460028	-5182	709	-5219				
41461028	-201	773	-5771				
41462064	2191	1549	-5081				
41463088	3315	-1169	-2234				
41464112	-7154	1345	-6540				
41465128	-6297	1651	-6072				
41466152	-3182	1344	-2147				
41471520	-1100	88	-4182				
41472544	1321	-881	-7141				
41473564	1048	1197	-9407				
41474576	2632	2601	-6068				
41475568	6913	698	-847				
41476604	801	-1932	-1285				
41477620	-7876	-235	-5852				
41478656	-12255	2291	-8414				
41479672	-6235	156	-4477				
41480684	-1818	-1768	1387				
41481712	-5019	-2773	3612				
41482716	-11506	-93	-2745				
41483740	-521	1195	-7169				
41484752	12415	43	-6100				
41485788	4014	-672	-8865				
41486796	-485	1534	-9775				
41487816	6436	3439	-5073				
41488836	11509	450	-913				
41489848	4477	-1152	-656				
41495232	2077	-2764	-1666				
41496240	1949	1853	-8693				
41497256	4134	1051	-7818				
41498268	-2367	47	-7113				
41499308	-4488	1782	-7973				
41500332	1411	2042	-5996	85.43	76.29	0	0
41502180	-1041	-319	-2535				
41503184	-8829	-854	-2910				
41504212	-15687	513	-6250				
41505232	-10785	401	-5049				
41506236	2150	-781	-677				
41507260	9150	-3409	2863				
41508272	4136	-2561	-618				
41509280	-3821	346	-6133				
41510300	-4826	2695	-7591				
41511324	-4156	1465	-5760				
41512348	-6221	1098	-7836				
41513364	-6406	1467	-8396				
41518756	3818	-558	-3649				
41519772	6810	-644	-1242				
41520800	6897	-1236	1996				
41521800	-1103	304	-1383				
41522812	-7542	2417	-6588				
41523840	-4032	1976	-6372				
41524860	-6719	1166	-6643				
41525888	-10865	141	-8659				
41526912	-8243	1386	-6320				
41527924	2082	-649	-3673				
41528948	7953	-2699	-2129				
41529964	7661	-1789	-2475				
41530976	2499	-650	-4643				
41531996	-3956	1372	-6425				
41545220	-7354	2135	-6263				
41548688	-8948	-2382	-2198				
41549712	-17665	694	-8978				
41550708	-9114	114	-9073				
41551732	-1493	-2837	-6523				
41557764	-10067	2161	-5960				
41558784	-13253	2636	-6337				
41559804	-4412	1093	-2546				
41560808	105	-2585	3034				
41561816	-3918	-3415	899				
41562852	-10600	-2584	-6526				
41563936	-3949	-287	-9633				
41565088	3108	-1164	-5220				
41566188	-447	-47	-5250				
41567316	2191	3678	-4271				
41568444	4884	2858	-2394				
41569516	680	114	-9				
41570536	-7824	38	-3709				
41571668	-14264	1782	-7479				
41572784	-9440	558	-5825				
41573904	-2972	-1683	-1667				
41575052	2144	-6253	2410				
41576180	-2190	-3911	-2887				
41583216	-6948	-1198	-2637				
